Date,Sector,Post,Tank Capacity,Reported Stock,Available Storage Space,Avg Daily Consumption,Days of Supply
"May 29, 2025",UNDOF Vehicle Registration,2087,,,0,0,0
"May 29, 2025",UNDOF Vehicle Registration,4661,,,0,0,0
"May 29, 2025",UNDOF Vehicle Registration,4662,,,0,0,0
"May 29, 2025",UNDOF Vehicle Registration,4663,,,0,0,0
"May 29, 2025",UNDOF Vehicle Registration,4664,,,0,0,0
"May 29, 2025",UNDOF Vehicle Registration,4665,,,0,0,0
"May 30, 2025",Camp Faouar,CF Gen,,,0,0,0
"May 30, 2025",Camp Faouar,CF Fuel Station,,,0,0,0
"May 30, 2025",Camp Faouar,CF Supply Food Storage GEN (Backup) ,,,0,0,0
"May 30, 2025",Camp Faouar,CF JOC GEN (Backup) ,,,0,0,0
"May 30, 2025",Camp Faouar,CF CITS/Hospital GEN (Backup) ,,,0,0,0
"May 30, 2025",Camp Faouar,CF Pentagon GEN (Backup) ,,,0,0,0
"May 30, 2025",Camp Faouar,CF IK Kitchen GEN (Backup) ,,,0,0,0
"May 30, 2025",Camp Faouar,Reserve VDP,,,0,0,0
"May 30, 2025",ROD,ROD Fuel Station,,,0,0,0
"May 30, 2025",ROD,ROD Generator,,,0,0,0
"May 30, 2025",Northern Sector,HB GEN,,,0,0,0
"May 30, 2025",Northern Sector,HB Fuel Station,,,0,0,0
"May 30, 2025",Northern Sector,HH,,,0,0,0
"May 30, 2025",Northern Sector,HS,,,0,0,0
"May 30, 2025",Northern Sector,POS12 Fuel Station,,,0,0,0
"May 30, 2025",Northern Sector,POS12A GEN,,,0,0,0
"May 30, 2025",Central Section,POS10A,,,0,0,0
"May 30, 2025",Central Section,POS17A,,,0,0,0
"May 30, 2025",Central Section,POS 27 Fuel Station,,,0,0,0
"May 30, 2025",Central Section,POS27 Gen,,,0,0,0
"May 30, 2025",Central Section,POS32,,,0,0,0
"May 30, 2025",Central Section,POS37,,,0,0,0
"May 30, 2025",Central Section,POS60,,,0,0,0
"May 30, 2025",Western Section,CZ,,,0,0,0
"May 30, 2025",Western Section,POS22,,,0,0,0
"May 30, 2025",Western Section,C Gate GEN,,,0,0,0
"May 30, 2025",Western Section,C Gate Central Heating,,,0,0,0
"May 30, 2025",Southern Section,POS68,,,0,0,0
"May 30, 2025",Southern Section,POS80 GEN,,,0,0,0
"May 30, 2025",Southern Section,POS80 Fuel Station,,,0,0,0
"May 30, 2025",Southern Section,POS85,,,0,0,0
"May 30, 2025",Southern Section,POS86B,,,0,0,0
"May 30, 2025",UNDOF Vehicle Registration,2085,,,0,0,0
"May 30, 2025",UNDOF Vehicle Registration,2086,,,0,0,0
"May 30, 2025",UNDOF Vehicle Registration,2087,,,0,0,0
"May 30, 2025",UNDOF Vehicle Registration,4661,,,0,0,0
"May 30, 2025",UNDOF Vehicle Registration,4662,,,0,0,0
"May 30, 2025",UNDOF Vehicle Registration,4663,,,0,0,0
"May 30, 2025",UNDOF Vehicle Registration,4664,,,0,0,0
"May 30, 2025",UNDOF Vehicle Registration,4665,,,0,0,0
"May 31, 2025",Camp Faouar,CF Gen,,,0,0,0
"May 31, 2025",Camp Faouar,CF Fuel Station,,,0,0,0
"May 31, 2025",Camp Faouar,CF Supply Food Storage GEN (Backup) ,,,0,0,0
"May 31, 2025",Camp Faouar,CF JOC GEN (Backup) ,,,0,0,0
"May 31, 2025",Camp Faouar,CF CITS/Hospital GEN (Backup) ,,,0,0,0
"May 31, 2025",Camp Faouar,CF Pentagon GEN (Backup) ,,,0,0,0
"May 31, 2025",Camp Faouar,CF IK Kitchen GEN (Backup) ,,,0,0,0
"May 31, 2025",Camp Faouar,Reserve VDP,,,0,0,0
"May 31, 2025",ROD,ROD Fuel Station,,,0,0,0
"May 31, 2025",ROD,ROD Generator,,,0,0,0
"May 31, 2025",Northern Sector,HB GEN,,,0,0,0
"May 31, 2025",Northern Sector,HB Fuel Station,,,0,0,0
"May 31, 2025",Northern Sector,HH,,,0,0,0
"May 31, 2025",Northern Sector,HS,,,0,0,0
"May 31, 2025",Northern Sector,POS12 Fuel Station,,,0,0,0
"May 31, 2025",Northern Sector,POS12A GEN,,,0,0,0
"May 31, 2025",Central Section,POS10A,,,0,0,0
"May 31, 2025",Central Section,POS17A,,,0,0,0
"May 31, 2025",Central Section,POS 27 Fuel Station,,,0,0,0
"May 31, 2025",Central Section,POS27 Gen,,,0,0,0
"May 31, 2025",Central Section,POS32,,,0,0,0
"May 31, 2025",Central Section,POS37,,,0,0,0
"May 31, 2025",Central Section,POS60,,,0,0,0
"May 31, 2025",Western Section,CZ,,,0,0,0
"May 31, 2025",Western Section,POS22,,,0,0,0
"May 31, 2025",Western Section,C Gate GEN,,,0,0,0
"May 31, 2025",Western Section,C Gate Central Heating,,,0,0,0
"May 31, 2025",Southern Section,POS68,,,0,0,0
"May 31, 2025",Southern Section,POS80 GEN,,,0,0,0
"May 31, 2025",Southern Section,POS80 Fuel Station,,,0,0,0
"May 31, 2025",Southern Section,POS85,,,0,0,0
"May 31, 2025",Southern Section,POS86B,,,0,0,0
"May 31, 2025",UNDOF Vehicle Registration,2085,,,0,0,0
"May 31, 2025",UNDOF Vehicle Registration,2086,,,0,0,0
"May 31, 2025",UNDOF Vehicle Registration,2087,,,0,0,0
"May 31, 2025",UNDOF Vehicle Registration,4661,,,0,0,0
"May 31, 2025",UNDOF Vehicle Registration,4662,,,0,0,0
"May 31, 2025",UNDOF Vehicle Registration,4663,,,0,0,0
"May 31, 2025",UNDOF Vehicle Registration,4664,,,0,0,0
"May 31, 2025",UNDOF Vehicle Registration,4665,,,0,0,0
